Group ID,Filename,Resolution,Size (Bytes),Full Path
Group 1,00baac05df3788404ddd2d2c894fb1f911e97a78_full.jpg,184x184,10678,E:\Awatary\Awatary Anime\00baac05df3788404ddd2d2c894fb1f911e97a78_full.jpg
Group 1,9b85bb70604f0053e9a527b5457f22b6--anime-neko-kawaii-anime.jpg,236x262,12498,E:\Awatary\Awatary Anime\9b85bb70604f0053e9a527b5457f22b6--anime-neko-kawaii-anime.jpg
Group 2,4b00f75c52c19e4b8b0bf4ceaefb255c.png,128x128,38558,E:\Awatary\Awatary Anime\4b00f75c52c19e4b8b0bf4ceaefb255c.png
Group 2,6fd33513f231d6a5f5913b1bb45af679ff3b1bf9_full.jpg,184x184,15642,E:\Awatary\Awatary Anime\6fd33513f231d6a5f5913b1bb45af679ff3b1bf9_full.jpg
Group 3,50a31a6.jpg,712x768,28481,E:\Awatary\Awatary Anime\50a31a6.jpg
Group 3,d4c671c.jpg,712x767,30909,E:\Awatary\Awatary Anime\d4c671c.jpg
Group 4,36234506_2153093808260661_8931918214732972032_n (1).jpg,529x539,59096,E:\Awatary\Reszta\36234506_2153093808260661_8931918214732972032_n (1).jpg
Group 4,xayoo bug.jpg,540x540,144860,E:\Awatary\xayoo\xayoo bug.jpg
Group 5,tumblr_o0lzsfx1hr1s9h3c6o1_500.gif,500x623,1012288,E:\Awatary\Reszta\tumblr_o0lzsfx1hr1s9h3c6o1_500.gif
Group 5,tumblr_o0lzsfx1hr1s9h3c6o1_500fdsfs.gif,500x623,1012288,E:\Awatary\Reszta\tumblr_o0lzsfx1hr1s9h3c6o1_500fdsfs.gif
Group 6,6498b6311703340a12453dfbdbe25b9d.jpg,736x736,41714,E:\Awatary\Wika i Kuba\6498b6311703340a12453dfbdbe25b9d.jpg
Group 6,c9050992bd180d9ebc7326e223e74419.jpg,736x736,43695,E:\Awatary\Wika i Kuba\c9050992bd180d9ebc7326e223e74419.jpg
Group 7,36351977_2157064724530236_3442203072682524672_n.jpg,720x960,75929,E:\Awatary\xayoo\36351977_2157064724530236_3442203072682524672_n.jpg
Group 7,36433534_1117977301711874_7475903067070660608_n.jpg,720x960,80481,E:\Awatary\xayoo\36433534_1117977301711874_7475903067070660608_n.jpg
Group 7,39409323_1045476212301534_7796395236095164416_n.jpg,720x960,78416,E:\Awatary\xayoo\39409323_1045476212301534_7796395236095164416_n.jpg
Group 8,43347.gif,250x285,411065,E:\Awatary\Awatary Anime\gify\43347.gif
Group 8,125123f235.png,250x285,64014,E:\Awatary\Awatary Anime\Sistine Fibel\125123f235.png
