Group ID,Filename,Resolution,Duration (ms),Size (Bytes),Full Path
Group 1,ssstwitter.com_1736120587086 (1).mp4,640x360,50017,2407155,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1736120587086 (1).mp4
Group 1,ssstwitter.com_1736120587086.mp4,640x360,50017,2407155,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1736120587086.mp4
Group 2,ssstwitter.com_1736705815822.mp4,720x720,1359590,127194096,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1736705815822.mp4
Group 2,ssstwitter.com_1778371582962.mp4,720x720,1359590,127194096,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371582962.mp4
Group 3,ssstwitter.com_1737274942583.mp4,1080x1080,1993600,325084978,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1737274942583.mp4
Group 3,ssstwitter.com_1740347920837.mp4,1080x1080,1993600,325084978,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1740347920837.mp4
Group 4,ssstwitter.com_1738825666369.mp4,720x722,968232,117370726,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1738825666369.mp4
Group 4,ssstwitter.com_1740919119351.mp4,720x722,968232,117370726,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1740919119351.mp4
Group 5,ssstwitter.com_1739018004696.mp4,1920x1080,1448835,516747593,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1739018004696.mp4
Group 5,ssstwitter.com_1778602987890.mp4,1920x1080,1448835,516747593,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778602987890.mp4
Group 6,ssstwitter.com_1739660409441.mp4,1280x720,2953966,461054193,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1739660409441.mp4
Group 6,ssstwitter.com_1761468658887.mp4,1280x720,2953966,461054193,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1761468658887.mp4
Group 6,ssstwitter.com_1779741100544.mp4,2560x1440,2954933,1434678952,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1779741100544.mp4
Group 7,ssstwitter.com_1739661776286.mp4,720x724,1828100,217827489,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1739661776286.mp4
Group 7,ssstwitter.com_1776204810671.mp4,720x724,1828100,217827489,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1776204810671.mp4
Group 8,ssstwitter.com_1739662110794.mp4,720x720,2654922,207914917,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1739662110794.mp4
Group 8,ssstwitter.com_1778371686328.mp4,720x720,2654922,207914917,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1778371686328.mp4
Group 9,ssstwitter.com_1743168842783.mp4,720x720,1955003,183139249,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1743168842783.mp4
Group 9,ssstwitter.com_1746840055077.mp4,720x720,1955003,183139249,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1746840055077.mp4
Group 9,ssstwitter.com_1751489657843.mp4,480x480,1955003,90739539,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1751489657843.mp4
Group 10,ssstwitter.com_1747143020342.mp4,720x724,1918792,192206989,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1747143020342.mp4
Group 10,ssstwitter.com_1757421210224.mp4,1072x1080,1918792,388555190,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1757421210224.mp4
Group 11,ssstwitter.com_1748548819081.mp4,720x720,1574193,158505355,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1748548819081.mp4
Group 11,ssstwitter.com_1757727928996.mp4,720x720,1574193,158505355,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1757727928996.mp4
Group 12,ssstwitter.com_1749861609725.mp4,1080x1080,2186256,397800993,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1749861609725.mp4
Group 12,ssstwitter.com_1776204884603.mp4,1080x1080,2186200,393727582,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1776204884603.mp4
Group 12,ssstwitter.com_1780133641795.mp4,1080x1080,2186200,393727582,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1780133641795.mp4
Group 13,ssstwitter.com_1749925422403.mp4,620x1080,28633,3167186,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1749925422403.mp4
Group 13,ssstwitter.com_1760895112054.mp4,620x1080,28834,2953946,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1760895112054.mp4
Group 14,ssstwitter.com_1750699380908.mp4,540x540,1565167,89552061,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1750699380908.mp4
Group 14,ssstwitter.com_1758925911586.mp4,640x640,1565259,128713028,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1758925911586.mp4
Group 15,ssstwitter.com_1751027115162.mp4,720x720,6300,919345,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1751027115162.mp4
Group 15,ssstwitter.com_1751568512811.mp4,720x720,6300,919345,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1751568512811.mp4
Group 16,ssstwitter.com_1752086041836.mp4,480x852,36767,1710528,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1752086041836.mp4
Group 16,ssstwitter.com_1777298858128.mp4,720x1280,36834,3437894,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777298858128.mp4
Group 17,ssstwitter.com_1752449706304.mp4,540x540,2114792,143927234,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1752449706304.mp4
Group 17,ssstwitter.com_1776810468917.mp4,720x720,2114792,242711460,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1776810468917.mp4
Group 18,ssstwitter.com_1752667110068.mp4,320x568,59383,2620841,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1752667110068.mp4
Group 18,ssstwitter.com_1756122113933.mp4,608x1080,59267,8430445,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1756122113933.mp4
Group 19,ssstwitter.com_1752667287056.mp4,480x852,26867,2193315,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1752667287056.mp4
Group 19,ssstwitter.com_1760951334867.mp4,720x1280,27100,4374749,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1760951334867.mp4
Group 20,ssstwitter.com_1752970822225.mp4,1080x1920,20100,8866419,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1752970822225.mp4
Group 20,ssstwitter.com_1777824939835.mp4,2160x3840,20100,33796434,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777824939835.mp4
Group 21,ssstwitter.com_1754721616363.mp4,720x720,2404935,215727714,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1754721616363.mp4
Group 21,ssstwitter.com_1754907270280.mp4,720x720,2404935,215727714,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1754907270280.mp4
Group 22,ssstwitter.com_1755466528404.mp4,720x720,1127257,109204466,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1755466528404.mp4
Group 22,ssstwitter.com_1757517930965.mp4,1080x1080,1127257,215570901,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1757517930965.mp4
Group 23,ssstwitter.com_1756156769594.mp4,720x1280,29637,5171490,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1756156769594.mp4
Group 23,ssstwitter.com_1777844594035.mp4,720x1280,29703,5206903,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1777844594035.mp4
Group 24,ssstwitter.com_1758541850890.mp4,1072x1080,1786633,346924888,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1758541850890.mp4
Group 24,ssstwitter.com_1758718460509.mp4,1072x1080,1786633,346924888,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1758718460509.mp4
Group 25,ssstwitter.com_1758728258434.mp4,720x720,171691,177380881,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1758728258434.mp4
Group 25,ssstwitter.com_1774906339654.mp4,720x720,171691,177380881,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 2\ssstwitter.com_1774906339654.mp4
Group 26,ssstwitter.com_1759153659280.mp4,1280x720,1927537,306900472,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1759153659280.mp4
Group 26,ssstwitter.com_1762819964619.mp4,1280x720,1927537,306900472,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1762819964619.mp4
Group 26,ssstwitter.com_1779282953950.mp4,1280x720,1927538,306950447,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe 3\ssstwitter.com_1779282953950.mp4
Group 27,ssstwitter.com_1761818029967.mp4,720x720,1770275,179475363,E:\Zdjęcia\+18\Good\Plik.dll\Filmy\Filmy Gołe\ssstwitter.com_1761818029967.mp4
